period,value
1996-12,201685
1996-11,194268
1996-10,200907
1996-09,194456
1996-08,197162
1996-07,196471
1996-06,193746
1996-05,198208
1996-04,193317
1996-03,203715
1996-02,190727
1996-01,201354
1995-12,202428
1995-11,197559
1995-10,199055
1995-09,192484
1995-08,199846
1995-07,199912
1995-06,197359
1995-05,205509
1995-04,198111
1995-03,204613
1995-02,190245
1995-01,207148
1994-12,209550
1994-11,198850
1994-10,206398
1994-09,198264
1994-08,202869
1994-07,201527
1994-06,198318
1994-05,207334
1994-04,198363
1994-03,209114
1994-02,189569
1994-01,211320
1993-12,212585
1993-11,207349
1993-10,212003
1993-09,201347
1993-08,209492
1993-07,207339
1993-06,203842
1993-05,212255
1993-04,206439
1993-03,216198
1993-02,194393
1993-01,215791
1992-12,220200
1992-11,210724
1992-10,220898
1992-09,210904
1992-08,214575
1992-07,221064
1992-06,215019
1992-05,222227
1992-04,218775
1992-03,227798
1992-02,214269
1992-01,228178
1991-12,226267
1991-11,219833
1991-10,230557
1991-09,221029
1991-08,226801
1991-07,227756
1991-06,219610
1991-05,229670
1991-04,225256
1991-03,233926
1991-02,213836
1991-01,232498
1990-12,227463
1990-11,221598
1990-10,233799
1990-09,216715
1990-08,225886
1990-07,222371
1990-06,213175
1990-05,227179
1990-04,222215
1990-03,230434
1990-02,209923
1990-01,233931
1989-12,227439
1989-11,226082
1989-10,231036
1989-09,226436
1989-08,233878
1989-07,230766
1989-06,228731
1989-05,242303
1989-04,233147
1989-03,234822
1989-02,218076
1989-01,246056
1988-12,246189
1988-11,240700
1988-10,248704
1988-09,236847
1988-08,250459
1988-07,249229
1988-06,245102
1988-05,255089
1988-04,248629
1988-03,259587
1988-02,242848
1988-01,255743
1987-12,257844
1987-11,251915
1987-10,259272
1987-09,246163
1987-08,254508
1987-07,255782
1987-06,248356
1987-05,258426
1987-04,254945
1987-03,262398
1987-02,234880
1987-01,262888
1986-12,258926
1986-11,252374
1986-10,260984
1986-09,249843
1986-08,259580
1986-07,268448
1986-06,258700
1986-05,273964
1986-04,265917
1986-03,279413
1986-02,256855
1986-01,283248
1985-12,279916
1985-11,267059
1985-10,278068
1985-09,268610
1985-08,272881
1985-07,277410
1985-06,270653
1985-05,283093
1985-04,271299
1985-03,281943
1985-02,252695
1985-01,270926
1984-12,275797
1984-11,269357
1984-10,276075
1984-09,269798
1984-08,273091
1984-07,275432
1984-06,265570
1984-05,277616
1984-04,265872
1984-03,268829
1984-02,257357
1984-01,274902
1983-12,260293
1983-11,263111
1983-10,271890
1983-09,263530
1983-08,269053
1983-07,267717
1983-06,260014
1983-05,267575
1983-04,263269
1983-03,269706
1983-02,245237
1983-01,269604
1982-12,266535
1982-11,260918
1982-10,269745
1982-09,261028
1982-08,267643
1982-07,268398
1982-06,259383
1982-05,269186
1982-04,257738
1982-03,268687
1982-02,243661
1982-01,263793
1981-12,266147
1981-11,257579
1981-10,265450
1981-09,258120
1981-08,266069
1981-07,263498
1981-06,258859
1981-05,263541
1981-04,256708
1981-03,267003
1981-02,240914
1981-01,264736
1980-12,266777
1980-11,254852
1980-10,264489
1980-09,258577
1980-08,260841
1980-07,264964
1980-06,256619
1980-05,267684
1980-04,260541
1980-03,269650
1980-02,252431
1980-01,268940
1979-12,267050
1979-11,262818
1979-10,267256
1979-09,255693
1979-08,264981
1979-07,259278
1979-06,252949
1979-05,266631
1979-04,256593
1979-03,266635
1979-02,238710
1979-01,262716
1978-12,268508
1978-11,262233
1978-10,273420
1978-09,264010
1978-08,271502
1978-07,271442
1978-06,264974
1978-05,273583
1978-04,264526
1978-03,270324
1978-02,234544
1978-01,259150
1977-12,263097
1977-11,257378
1977-10,265776
1977-09,254392
1977-08,257510
1977-07,251244
1977-06,243058
1977-05,250317
1977-04,244347
1977-03,250778
1977-02,227890
1977-01,243478
1976-12,249879
1976-11,242388
1976-10,249962
1976-09,244489
1976-08,251429
1976-07,251942
1976-06,242833
1976-05,251860
1976-04,242310
1976-03,255198
1976-02,238705
1976-01,255185
1975-12,255860
1975-11,248336
1975-10,258057
1975-09,248389
1975-08,255712
1975-07,258408
1975-06,252624
1975-05,259742
1975-04,253698
1975-03,263297
1975-02,240552
1975-01,262104
1974-12,264322
1974-11,257064
1974-10,266949
1974-09,253288
1974-08,269665
1974-07,272184
1974-06,263407
1974-05,276228
1974-04,268619
1974-03,277927
1974-02,255982
1974-01,276950
1973-12,280960
1973-11,274829
1973-10,285940
1973-09,271959
1973-08,284225
1973-07,285731
1973-06,276418
1973-05,287134
1973-04,278757
1973-03,287430
1973-02,263066
1973-01,284454
1972-12,289385
1972-11,282780
1972-10,293930
1972-09,285240
1972-08,293973
1972-07,294376
1972-06,285660
1972-05,298034
1972-04,285390
1972-03,293322
1972-02,270744
1972-01,282534
1971-12,282100
1971-11,274170
1971-10,284022
1971-09,274050
1971-08,291741
1971-07,293121
1971-06,288120
1971-05,298995
1971-04,293070
1971-03,302808
1971-02,272412
1971-01,299305
1970-12,308264
1970-11,301320
1970-10,310403
1970-09,295590
1970-08,296360
1970-07,285274
1970-06,280770
1970-05,295213
1970-04,287730
1970-03,294748
1970-02,267960
1970-01,293818
1969-12,295368
1969-11,280380
1969-10,285603
1969-09,278850
1969-08,281077
1969-07,288145
1969-06,288935
1969-05,290036
1969-04,277140
1969-03,280705
1969-02,249984
1969-01,275528
1968-12,276086
1968-11,269070
1968-10,276396
1968-09,267960
1968-08,283154
1968-07,283836
1968-06,274320
1968-05,285355
1968-04,273690
1968-03,288882
1968-02,270425
1968-01,279868
1967-12,276135
1967-11,269348
1967-10,278997
1967-09,272845
1967-08,292495
1967-07,283776
1967-06,256174
1967-05,259923
1967-04,254252
1967-03,264854
1967-02,241366
1967-01,265577
1966-12,263843
1966-11,252825
1966-10,258008
1966-09,247632
1966-08,255812
1966-07,255121
1966-06,250391
1966-05,258677
1966-04,248155
1966-03,257107
1966-02,230733
1966-01,249459
1965-12,253584
1965-11,239635
1965-10,244122
1965-09,222529
1965-08,240180
1965-07,237606
1965-06,232440
1965-05,238253
1965-04,236844
1965-03,243763
1965-02,218612
1965-01,240946
1964-12,240863
1964-11,229029
1964-10,236304
1964-09,225965
1964-08,230926
1964-07,231648
1964-06,226808
1964-05,234742
1964-04,232185
1964-03,239068
1964-02,222947
1964-01,236337
1963-12,232843
1963-11,226321
1963-10,233610
1963-09,225207
1963-08,236830
1963-07,235144
1963-06,226853
1963-05,234499
1963-04,228270
1963-03,234289
1963-02,212437
1963-01,226420
1962-12,228824
1962-11,223231
1962-10,228380
1962-09,219589
1962-08,224240
1962-07,224018
1962-06,217712
1962-05,222969
1962-04,221737
1962-03,228661
1962-02,209072
1962-01,227756
1961-12,226635
1961-11,214566
1961-10,220942
1961-09,209848
1961-08,220218
1961-07,215699
1961-06,213084
1961-05,221553
1961-04,219846
1961-03,231596
1961-02,204274
1961-01,223497
1960-12,221653
1960-11,213992
1960-10,215687
1960-09,209119
1960-08,215145
1960-07,212645
1960-06,208161
1960-05,212296
1960-04,211132
1960-03,220977
1960-02,209986
1960-01,224140
1959-12,222969
1959-11,209449
1959-10,214248
1959-09,205700
1959-08,209733
1959-07,210311
1959-06,212489
1959-05,223806
1959-04,217685
1959-03,222839
1959-02,201435
1959-01,223926
1958-12,221277
1958-11,209252
1958-10,215887
1958-09,212642
1958-08,215030
1958-07,203701
1958-06,190172
1958-05,193205
1958-04,189014
1958-03,194580
1958-02,190947
1958-01,213280
1957-12,214641
1957-11,205249
1957-10,212055
1957-09,206777
1957-08,210150
1957-07,212781
1957-06,213302
1957-05,230466
1957-04,226392
1957-03,238490
1957-02,214967
1957-01,231631
1956-12,228673
1956-11,214438
1956-10,215570
1956-09,211585
1956-08,223035
1956-07,219770
1956-06,213010
1956-05,218942
1956-04,214412
1956-03,225645
1956-02,209078
1956-01,223125
1955-12,221863
1955-11,210454
1955-10,211866
1955-09,202037
1955-08,206619
1955-07,205614
1955-06,197844
1955-05,207067
1955-04,206668
1955-03,213453
1955-02,191342
1955-01,209601
1954-12,198134
1954-11,190372
1954-10,189724
1954-09,184325
1954-08,190388
1954-07,194098
1954-06,194974
1954-05,200627
1954-04,198502
1954-03,201763
1954-02,178644
1954-01,193437
1953-12,193350
1953-11,188116
1953-10,193726
1953-09,196571
1953-08,204490
1953-07,204711
1953-06,197630
1953-05,198117
1953-04,191953
1953-03,202024
1953-02,183183
1953-01,203211
1952-12,205904
1952-11,193832
1952-10,201581
1952-09,195603
1952-08,192768
1952-07,188985
1952-06,185692
1952-05,157748
1952-04,192936
1952-03,197121
1952-02,184818
1952-01,192848
1951-12,191971
1951-11,188499
1951-10,198163
1951-09,188016
1951-08,193537
1951-07,190626
1951-06,184064
1951-05,191601
1951-04,183860
1951-03,187774
1951-02,166163
1951-01,183437
1950-12,177460
1950-11,176782
1950-10,183011
1950-09,176698
1950-08,176192
1950-07,170058
1950-06,161305
1950-05,159558
1950-04,149147
1950-03,151301
1950-02,139127
1950-01,152935
1949-12,155830
1949-11,156496
1949-10,155469
1949-09,148286
1949-08,148356
1949-07,145530
1949-06,147283
1949-05,154250
1949-04,150343
1949-03,162399
1949-02,150682
1949-01,167016
1948-12,177386
1948-11,170777
1948-10,174972
1948-09,163244
1948-08,173015
1948-07,171369
1948-06,166448
1948-05,170705
1948-04,164726
1948-03,167868
1948-02,155577
1948-01,164098
1947-12,165555
1947-11,158701
1947-10,165032
1947-09,157665
1947-08,160448
1947-07,159366
1947-06,153058
1947-05,156055
1947-04,149410
1947-03,152178
1947-02,134696
1947-01,144823
1946-12,146471
1946-11,144674
1946-10,148323
1946-09,143708
1946-08,149910
1946-07,152586
1946-06,146890
